level_mm,volume_litres
0.0,0.0
400.0,54052.0
800.0,111916.0
1200.0,171312.0
1600.0,231725.0
2000.0,292906.0
2400.0,354707.0
2800.0,417026.0
3200.0,479794.0
3600.0,542956.0
4000.0,606471.0
4400.0,670305.0
4800.0,734430.0
5200.0,798824.0
5600.0,863465.0
6000.0,928338.0
6400.0,993428.0
6800.0,1058721.0
7200.0,1124208.0
7600.0,1189876.0
8000.0,1255717.0
8400.0,1321724.0
8800.0,1387887.0
9200.0,1454201.0
9600.0,1520660.0
10000.0,1587257.0
10400.0,1653988.0
10800.0,1720847.0
11200.0,1787830.0
11600.0,1854933.0
12000.0,1922152.0
12400.0,1989483.0
12800.0,2056922.0
13200.0,2124467.0
13600.0,2192114.0
14000.0,2259861.0
14400.0,2327705.0
14800.0,2395643.0
15200.0,2463673.0
15600.0,2531793.0
16000.0,2600000.0
