level_mm,volume_litres
0.0,0.0
400.0,442809.0
800.0,916850.0
1200.0,1403440.0
1600.0,1898364.0
2000.0,2399579.0
2400.0,2905865.0
2800.0,3416407.0
3200.0,3930620.0
3600.0,4448066.0
4000.0,4968401.0
4400.0,5491348.0
4800.0,6016680.0
5200.0,6544209.0
5600.0,7073772.0
6000.0,7605231.0
6400.0,8138467.0
6800.0,8673372.0
7200.0,9209854.0
7600.0,9747829.0
8000.0,10287222.0
8400.0,10827966.0
8800.0,11369999.0
9200.0,11913266.0
9600.0,12457716.0
10000.0,13003301.0
10400.0,13549979.0
10800.0,14097710.0
11200.0,14646456.0
11600.0,15196183.0
12000.0,15746859.0
12400.0,16298453.0
12800.0,16850938.0
13200.0,17404288.0
13600.0,17958476.0
14000.0,18513480.0
14400.0,19069277.0
14800.0,19625848.0
15200.0,20183171.0
15600.0,20741227.0
16000.0,21300000.0
