level_mm,volume_litres
0.0,0.0
400.0,149682.0
800.0,309921.0
1200.0,474402.0
1600.0,641701.0
2000.0,811125.0
2400.0,982264.0
2800.0,1154842.0
3200.0,1328660.0
3600.0,1503572.0
4000.0,1679459.0
4400.0,1856230.0
4800.0,2033807.0
5200.0,2212127.0
5600.0,2391134.0
6000.0,2570782.0
6400.0,2751031.0
6800.0,2931844.0
7200.0,3113190.0
7600.0,3295041.0
8000.0,3477371.0
8400.0,3660157.0
8800.0,3843380.0
9200.0,4027020.0
9600.0,4211059.0
10000.0,4395482.0
10400.0,4580275.0
10800.0,4765423.0
11200.0,4950915.0
11600.0,5136738.0
12000.0,5322882.0
12400.0,5509336.0
12800.0,5696092.0
13200.0,5883139.0
13600.0,6070471.0
14000.0,6258078.0
14400.0,6445953.0
14800.0,6634089.0
15200.0,6822480.0
15600.0,7011119.0
16000.0,7200000.0
