level_mm,volume_litres
0.0,0.0
400.0,415783.0
800.0,860892.0
1200.0,1317784.0
1600.0,1782502.0
2000.0,2253126.0
2400.0,2728512.0
2800.0,3207894.0
3200.0,3690723.0
3600.0,4176588.0
4000.0,4665165.0
4400.0,5156195.0
4800.0,5649465.0
5200.0,6144797.0
5600.0,6642039.0
6000.0,7141062.0
6400.0,7641753.0
6800.0,8144011.0
7200.0,8647750.0
7600.0,9152891.0
8000.0,9659363.0
8400.0,10167104.0
8800.0,10676055.0
9200.0,11186165.0
9600.0,11697386.0
10000.0,12209672.0
10400.0,12722985.0
10800.0,13237286.0
11200.0,13752541.0
11600.0,14268716.0
12000.0,14785783.0
12400.0,15303712.0
12800.0,15822477.0
13200.0,16342054.0
13600.0,16862419.0
14000.0,17383549.0
14400.0,17905425.0
14800.0,18428026.0
15200.0,18951334.0
15600.0,19475331.0
16000.0,20000000.0
