level_mm,volume_litres
0.0,0.0
400.0,261943.0
800.0,542362.0
1200.0,830204.0
1600.0,1122976.0
2000.0,1419469.0
2400.0,1718962.0
2800.0,2020973.0
3200.0,2325156.0
3600.0,2631250.0
4000.0,2939054.0
4400.0,3248403.0
4800.0,3559163.0
5200.0,3871222.0
5600.0,4184485.0
6000.0,4498869.0
6400.0,4814304.0
6800.0,5130727.0
7200.0,5448083.0
7600.0,5766321.0
8000.0,6085399.0
8400.0,6405275.0
8800.0,6725915.0
9200.0,7047284.0
9600.0,7369353.0
10000.0,7692094.0
10400.0,8015481.0
10800.0,8339490.0
11200.0,8664101.0
11600.0,8989291.0
12000.0,9315043.0
12400.0,9641339.0
12800.0,9968161.0
13200.0,10295494.0
13600.0,10623324.0
14000.0,10951636.0
14400.0,11280418.0
14800.0,11609656.0
15200.0,11939340.0
15600.0,12269458.0
16000.0,12600000.0
