level_mm,volume_litres
0.0,0.0
400.0,453204.0
800.0,938372.0
1200.0,1436385.0
1600.0,1942927.0
2000.0,2455908.0
2400.0,2974078.0
2800.0,3496604.0
3200.0,4022888.0
3600.0,4552481.0
4000.0,5085030.0
4400.0,5620252.0
4800.0,6157917.0
5200.0,6697828.0
5600.0,7239823.0
6000.0,7783758.0
6400.0,8329511.0
6800.0,8876972.0
7200.0,9426048.0
7600.0,9976651.0
8000.0,10528706.0
8400.0,11082143.0
8800.0,11636900.0
9200.0,12192920.0
9600.0,12750150.0
10000.0,13308543.0
10400.0,13868054.0
10800.0,14428642.0
11200.0,14990269.0
11600.0,15552901.0
12000.0,16116503.0
12400.0,16681046.0
12800.0,17246500.0
13200.0,17812839.0
13600.0,18380036.0
14000.0,18948069.0
14400.0,19516913.0
14800.0,20086548.0
15200.0,20656954.0
15600.0,21228111.0
16000.0,21800000.0
