level_mm,volume_litres
0.0,0.0
400.0,234918.0
800.0,486404.0
1200.0,744548.0
1600.0,1007114.0
2000.0,1273016.0
2400.0,1541609.0
2800.0,1812460.0
3200.0,2085259.0
3600.0,2359772.0
4000.0,2635818.0
4400.0,2913250.0
4800.0,3191948.0
5200.0,3471810.0
5600.0,3752752.0
6000.0,4034700.0
6400.0,4317590.0
6800.0,4601366.0
7200.0,4885979.0
7600.0,5171383.0
8000.0,5457540.0
8400.0,5744414.0
8800.0,6031971.0
9200.0,6320183.0
9600.0,6609023.0
10000.0,6898465.0
10400.0,7188487.0
10800.0,7479067.0
11200.0,7770185.0
11600.0,8061825.0
12000.0,8353967.0
12400.0,8646597.0
12800.0,8939700.0
13200.0,9233261.0
13600.0,9527267.0
14000.0,9821705.0
14400.0,10116565.0
14800.0,10411835.0
15200.0,10707504.0
15600.0,11003562.0
16000.0,11300000.0
